DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
1,1.9,2,42,49,37
2,2.5,2,43,50,38
3,3.9,0.4,49,55,43
4,4.4,0,58,65,52
5,4.6,0,66,72,61
6,6.1,0,72,77,68
7,5.2,0,78,84,74
8,5.1,0,81,86,76
9,7.4,0,75,80,70
10,6,0,65,70,59
11,3.3,0,55,61,49
12,1.9,0,47,53,41
