DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
1,3.25,8.6,34.4,40.2,28.6
2,2.93,9.8,36.3,42.7,29.9
3,4.01,5.4,43.1,49.9,36.2
4,3.85,0.4,53.6,61.3,46
5,3.58,0,63.7,71.8,55.7
6,4.03,0,73.4,81.1,65.7
7,4.3,0,79.2,86.4,71.9
8,4.41,0,77.7,84.5,71
9,3.88,0,70.8,77.2,64.4
10,3.81,0.1,59.6,66,53.3
11,3.15,0.3,49.1,55,43.2
12,4.08,5.2,40,45.4,34.7
